Q6P2Q9	PRPF8
Q96A05	ATP6V1E2
P22203	VMA4
Q14667	KIAA0100
Q06116	
Q06179	FMP27
Q13526	PIN1
P22696	ESS1
Q5VVQ6	YOD1
P43558	OTU1
Q5VIR6	VPS53
P47061	VPS53
Q9Y570	PPME1
P38796	PPE1
Q9UKK9	NUDT5
Q01976	YSA1
P62899	RPL31
P0C2H8	RPL31A
P0C2H9	RPL31B
P14314	PRKCSH
Q04924	GTB1
Q8N6T3	ARFGAP1
P35197	GCS1
Q9BQG2	NUDT12
P53164	NPY1
Q16654	PDK4
Q15118	PDK1
Q15119	PDK2
Q15120	PDK3
P53170	PKP2
Q9Y397	ZDHHC9
Q8IZN3	ZDHHC14
Q9NUE0	ZDHHC18
Q06551	ERF2
Q99943	AGPAT1
O15120	AGPAT2
P33333	SLC1
Q13416	ORC2
P32833	ORC2
Q15813	TBCE
P39937	PAC2
Q9HAV4	XPO5
P52918	MSN5
Q9Y3D0	CIAO2B
P38829	
Q9NZ52	GGA3
Q9UJY5	GGA1
Q9UJY4	GGA2
P38817	GGA2
Q06336	GGA1
O60739	EIF1B
P41567	EIF1
P32911	SUI1
Q92572	AP3S1
P59780	AP3S2
P47064	APS3
Q9UBU8	MORF4L1
Q15014	MORF4L2
Q12432	EAF3
Q86VD9	PIGZ
Q04174	SMP3
Q9NX24	NHP2
P32495	NHP2
Q9UMS0	NFU1
P32860	NFU1
Q9P2I0	CPSF2
Q12102	CFT2
Q9BY43	CHMP4A
Q9H444	CHMP4B
P59074	CHMP4BP1
Q96CF2	CHMP4C
P39929	SNF7
Q9UNX3	RPL26L1
P61254	RPL26
P05743	RPL26A
P53221	RPL26B
O43765	SGTA
Q96EQ0	SGTB
Q12118	SGT2
O75608	LYPLA1
O95372	LYPLA2
Q12354	
Q8WVC6	DCAKD
Q03941	CAB5
Q96DW6	SLC25A38
Q07534	HEM25
Q9Y234	LIPT1
P47051	AIM22
Q9NNW5	WDR6
Q08924	RTT10
P62942	FKBP1A
Q5VVH2	FKBP1C
P68106	FKBP1B
P20081	FPR1
P52565	ARHGDIA
P52566	ARHGDIB
Q99819	ARHGDIG
Q12434	RDI1
O95336	PGLS
P38858	SOL3
P53315	SOL4
P25208	NFYB
P13434	HAP3
O95619	YEATS4
P53930	YAF9
P53680	AP2S1
Q00381	APS2
P53701	HCCS
P06182	CYC3
Q9NWS8	RMND1
Q05648	MRX10
P47755	CAPZA2
P52907	CAPZA1
Q96KX2	CAPZA3
P28495	CAP1
P61218	POLR2F
P20435	RPO26
O60294	LCMT2
Q08282	PPM2
P54198	HIRA
P32480	HIR2
Q15003	NCAPH
P38170	BRN1
Q7RTV0	PHF5A
Q06835	RDS3
Q8TEA8	DTD1
Q07648	DTD1
Q9BZP6	CHIA
Q13231	CHIT1
Q12889	OVGP1
Q15782	CHI3L2
P36222	CHI3L1
Q06350	CTS2
P61513	RPL37A
A6NKH3	RPL37AP8
P0CX26	RPL43B
P0CX25	RPL43A
Q15382	RHEB
Q8TAI7	RHEBL1
P25378	RHB1
P60866	RPS20
P38701	RPS20
Q96SE0	ABHD1
Q8WU67	ABHD3
Q03649	
Q02891	EEB1
P38295	EHT1
Q9NQ29	LUC7L
Q9Y383	LUC7L2
O95232	LUC7L3
Q07508	LUC7
Q8WTP8	AEN
Q9H9L3	ISG20L2
Q08237	REX4
Q7L5Y9	MAEA
P40492	FYV10
P06730	EIF4E
A6NMX2	EIF4E1B
P07260	CDC33
Q52LR7	EPC2
Q9H2F5	EPC1
P43572	EPL1
Q9UGP5	POLL
P06746	POLB
P25615	POL4
Q9BXI2	SLC25A2
Q9Y619	SLC25A15
Q12375	ORT1
O15403	SLC16A6
P36032	MCH2
O94888	UBXN7
Q06682	UBX5
Q6UWH6	TEX261
P38869	SVP26
Q8N766	EMC1
P25574	EMC1
Q9NWT1	PAK1IP1
P20484	MAK11
P52655	GTF2A1
Q9UNN4	GTF2A1L
P32773	TOA1
P61927	RPL37
P49166	RPL37A
P51402	RPL37B
Q8N6H7	ARFGAP2
Q9NP61	ARFGAP3
P38682	GLO3
Q9P0I2	EMC3
P36039	EMC3
P00367	GLUD1
P49448	GLUD2
P39708	GDH3
P07262	GDH1
P62633	CNBP
Q8WW36	ZCCHC13
P53849	GIS2
Q9Y4P8	WIPI2
Q5MNZ9	WIPI1
Q02887	ATG21
P62888	RPL30
P14120	RPL30
P49755	TMED10
P54837	ERV25
Q96FM1	PGAP3
P25625	PER1
Q9Y4P1	ATG4B
Q8WYN0	ATG4A
Q86TL0	ATG4D
P53867	ATG4
P42766	RPL35
P0CX85	RPL35B
P0CX84	RPL35A
Q16526	CRY1
Q49AN0	CRY2
P05066	PHR1
Q96C23	GALM
P38893	
P53757	
O60906	SMPD2
P40015	ISC1
P24863	CCNC
P47821	SSN8
Q8N159	NAGS
Q01217	ARG5,6
Q8TAF3	WDR48
Q99247	
Q9BY32	ITPA
P47119	HAM1
Q9NQQ7	SLC35C2
Q03697	YMD8
P42677	RPS27
Q71UM5	RPS27L
P35997	RPS27A
P38711	RPS27B
Q9NVA4	TMEM184C
Q9Y519	TMEM184B
Q6ZMB5	TMEM184A
P36142	
P00846	MT-ATP6
P00854	ATP6
P29083	GTF2E1
P36100	TFA1
P61758	VBP1
P48363	PAC10
Q86WR0	CCDC25
P40206	JLP2
Q9Y3E5	PTRH2
P34222	PTH2
P0CB43	HGH1
Q9BTY7	HGH1
P48362	HGH1
Q5VTR2	RNF20
O75150	RNF40
Q07457	BRE1
O43929	ORC4
P54791	ORC4
P55789	GFER
P27882	ERV1
O14929	HAT1
Q12341	HAT1
P46952	HAAO
P47096	BNA1
P41214	EIF2D
Q04600	TMA64
P62316	SNRPD2
Q06217	SMD2
Q9Y3A2	UTP11
P34247	UTP11
P36969	GPX4
P38143	GPX2
P40581	HYR1
P36014	GPX1
Q8NEB5	PLPP5
Q5VZY2	PLPP4
Q05521	DPP1
P26885	FKBP2
P32472	FPR2
P24666	ACP1
P40347	LTP1
Q6J4K2	SLC8B1
Q12424	
Q96E52	OMA1
P36163	OMA1
Q9HC21	SLC25A19
P53257	TPC1
Q96CP6	GRAMD1A
Q3KR37	GRAMD1B
Q8IYS0	GRAMD1C
P43560	LAM5
Q08001	LAM6
P17706	PTPN2
P18031	PTPN1
Q4JDL3	PTPN20
P25044	PTP1
O60869	EDF1
O14467	MBF1
Q69YN2	CWF19L1
P53255	DRN1
Q9BW85	YJU2
P28320	YJU2
Q96HR8	NAF1
P53919	NAF1
Q9UHY7	ENOPH1
P32626	UTR4
Q96S15	WDR24
Q08281	RTC1
Q53H96	PYCR3
P32322	PYCR1
Q96C36	PYCR2
P32263	PRO3
O75886	STAM2
Q92783	STAM
P38753	HSE1
Q8WU79	SMAP2
Q8IYB5	SMAP1
P40529	AGE2
O00233	PSMD9
P40555	NAS2
O14874	BCKDK
P40530	PKP1
P39656	DDOST
P33767	WBP1
P48556	PSMD8
P32496	RPN12
Q9Y333	LSM2
P38203	LSM2
Q9Y277	VDAC3
P45880	VDAC2
P21796	VDAC1
P04840	POR1
P40478	POR2
P31483	TIA1
Q01085	TIAL1
Q00539	NAM8
P32831	NGR1
Q9BXW7	HDHD5
P36151	
Q9UJA5	TRMT6
P41814	GCD10
Q96MV8	ZDHHC15
Q9UIJ5	ZDHHC2
Q5W0Z9	ZDHHC20
P42836	PFA3
P27338	MAOB
P21397	MAOA
P50264	FMS1
P61923	COPZ1
Q9P299	COPZ2
P53600	RET3
Q9Y2D4	EXOC6B
Q8TAG9	EXOC6
P22224	SEC15
P48047	ATP5PO
P09457	ATP5
Q96S44	TP53RK
P53323	BUD32
Q96KG9	SCYL1
Q12453	CEX1
Q9NWL6	ASNSD1
Q04489	
O43280	TREH
P35172	NTH2
P32356	NTH1
Q0GE19	SLC10A7
Q05131	
Q15061	WDR43
Q04177	UTP5
Q7Z6V5	ADAT2
P47058	TAD2
Q99758	ABCA3
Q8IUA7	ABCA9
Q8WWZ7	ABCA5
Q8WWZ4	ABCA10
O94911	ABCA8
Q8N139	ABCA6
P33302	PDR5
Q04182	PDR15
P51533	PDR10
P32568	SNQ2
P53756	PDR18
Q02785	PDR12
P40550	PDR11
Q08409	AUS1
Q6P5R6	RPL22L1
P35268	RPL22
P05749	RPL22A
P56628	RPL22B
P46783	RPS10
Q9NQ39	RPS10P5
Q08745	RPS10A
P46784	RPS10B
Q13492	PICALM
O60641	SNAP91
P53309	YAP1802
P38856	YAP1801
P49207	RPL34
P40525	RPL34B
P87262	RPL34A
Q9Y3E0	GOLT1B
Q6ZVE7	GOLT1A
Q03554	GOT1
Q9NZ01	TECR
Q5HYJ1	TECRL
Q99190	TSC13
O14777	NDC80
P40460	NDC80
P82094	TMF1
P47166	SGM1
Q14997	PSME4
P43583	BLM10
Q8NI37	PPTC7
P38797	PTC7
Q9UNS1	TIMELESS
P53840	TOF1
Q9Y3B7	MRPL11
P53875	MRPL19
Q9BVK6	TMED9
Q7Z7H5	TMED4
P53198	ERP6
Q05359	ERP1
P38819	ERP5
Q15642	TRIP10
Q96RU3	FNBP1
Q5T0N5	FNBP1L
P38822	BZZ1
P05387	RPLP2
P02400	RPP2B
P05319	RPP2A
H3BQF6	
Q5JPI9	EEF1AKMT2
P40516	EFM4
Q02078	MEF2A
Q06413	MEF2C
Q12224	RLM1
Q6Y1H2	HACD2
B0YJ81	HACD1
P40857	PHS1
Q9NYU1	UGGT2
Q9NYU2	UGGT1
P22023	KRE5
P25398	RPS12
P48589	RPS12
Q5T653	MRPL2
P32611	RML2
Q9BZW2	SLC13A1
Q9UKG4	SLC13A4
Q13183	SLC13A2
Q86YT5	SLC13A5
Q8WWT9	SLC13A3
P27514	PHO91
P25360	PHO87
P39535	PHO90
P57721	PCBP3
Q15365	PCBP1
Q15366	PCBP2
P57723	PCBP4
P61978	HNRNPK
P38151	PBP2
Q02447	SP3
P0CG40	SP9
Q8IXZ3	SP8
P53968	CRZ1
P51946	CCNH
P37366	CCL1
Q9BQC3	DPH2
P32461	DPH2
Q9H1D9	POLR3F
P32910	RPC34
Q9NQT5	EXOSC3
Q08285	RRP40
Q9UK41	VPS28
Q02767	VPS28
Q9UIC8	LCMT1
Q04081	PPM1
Q16623	STX1A
P61266	STX1B
P32856	STX2
Q13277	STX3
Q12846	STX4
O75558	STX11
Q8N4C7	STX19
P39926	SSO2
P32867	SSO1
Q9Y259	CHKB
P35790	CHKA
Q9HBU6	ETNK1
Q9NVF9	ETNK2
P20485	CKI1
Q03764	EKI1
P52435	POLR2J
Q9GZM3	POLR2J2
Q9H1A7	POLR2J3
P38902	RPB11
Q2M3R5	SLC35G1
Q08980	
Q04835	
O43542	XRCC3
P25301	RAD57
Q13573	SNW1
P28004	PRP45
Q86SX6	GLRX5
Q02784	GRX5
Q9BVG4	PBDC1
Q08971	
Q9UBS8	RNF14
Q04638	ITT1
P30307	CDC25C
P30305	CDC25B
P30304	CDC25A
P23748	MIH1
P15374	UCHL3
P09936	UCHL1
P35127	YUH1
Q8N4E4	PDCL2
Q9H2J4	PDCL3
Q12017	PLP2
Q9UJX6	ANAPC2
Q12440	APC2
Q7RTX9	SLC16A14
Q7RTY1	SLC16A9
Q8TF71	SLC16A10
Q08777	MCH5
Q08268	MCH4
Q14722	KCNAB1
Q13303	KCNAB2
O43448	KCNAB3
Q02895	AAD16
Q5VWJ9	SNX30
Q9UNH6	SNX7
P47057	SNX4
Q9HAV7	GRPEL1
Q8TAA5	GRPEL2
P38523	MGE1
O75832	PSMD10
P50086	NAS6
Q9BQ83	SLX1A
P38324	SLX1
Q9HCE5	METTL14
P25583	KAR4
Q9P2X3	IMPACT
P25637	YIH1
Q9BSJ8	ESYT1
A0FGR8	ESYT2
A0FGR9	ESYT3
Q12466	TCB1
P48231	TCB2
Q03640	TCB3
Q9UMX0	UBQLN1
Q9UHD9	UBQLN2
Q9NRR5	UBQLN4
Q9H347	UBQLN3
Q8IYU4	UBQLNL
P48510	DSK2
Q13765	NACA
Q9H009	NACA2
Q9BZK3	NACA4P
P38879	EGD2
Q53FA7	TP53I3
Q99536	VAT1
P38230	ZTA1
Q14914	PTGR1
Q8N8N7	PTGR2
Q03102	
P36954	POLR2I
P27999	RPB9
P23434	GCSH
P39726	GCV3
P08621	SNRNP70
Q00916	SNP1
Q16864	ATP6V1F
P39111	VMA7
Q6UWP2	DHRS11
Q05016	
Q96T52	IMMP2L
P46972	IMP2
Q9NZZ3	CHMP5
Q03390	VPS60
Q9ULX3	NOB1
Q08444	NOB1
Q9Y2Z0	SUGT1
Q08446	SGT1
Q9P003	CNIH4
P53173	ERV14
P38312	ERV15
Q9Y5U8	MPC1
P0DKB6	MPC1L
P53157	MPC1
O60762	DPM1
P14020	DPM1
O15235	MRPS12
P53732	MRPS12
Q9Y2S0	POLR1D
P28000	RPC19
Q9NY61	AATF
Q06631	BFR2
Q9Y6H3	ATP23
P53722	ATP23
Q8N584	TTC39C
Q5VTQ0	TTC39B
P47031	IML2
P36114	
O00401	WASL
P42768	WAS
Q12446	LAS17
Q9Y5W8	SNX13
Q9H3E2	SNX25
Q01846	MDM1
P50336	PPOX
P40012	HEM14
Q6DCA0	AMMECR1L
Q12012	
Q9H477	RBKS
P25332	RBK1
Q8TBK2	SETD6
Q12504	RKM4
Q9BRU9	UTP23
Q12339	UTP23
P46976	GYG1
O15488	GYG2
P47011	GLG2
P36143	GLG1
P18077	RPL35A
P41056	RPL33B
P05744	RPL33A
P50914	RPL14
P36105	RPL14A
P38754	RPL14B
Q6P4F2	FDX2
Q8N8B8	FDX2
Q12184	YAH1
O14746	TERT
Q06163	EST2
Q9NZJ6	COQ3
P27680	COQ3
Q9Y2Y1	POLR3K
Q04307	RPC11
Q8N5I4	DHRSX
Q8NBN7	RDH13
Q9HBH5	RDH14
Q96NR8	RDH12
Q8TC12	RDH11
Q9NZC7	WWOX
Q6UX07	DHRS13
Q08651	ENV9
Q96GM5	SMARCD1
Q6STE5	SMARCD3
Q92925	SMARCD2
P53628	SNF12
P25632	RSC6
O14974	PPP1R12A
O60237	PPP1R12B
Q9BZL4	PPP1R12C
P40480	HOS4
Q9BX40	LSM14B
Q8ND56	LSM14A
P45978	SCD6
Q9H871	RMND5A
Q96G75	RMND5B
Q12508	RMD5
O75486	SUPT3H
P06844	SPT3
Q9BQG0	MYBBP1A
P39985	POL5
Q99471	PFDN5
Q04493	GIM5
Q9H967	WDR76
Q12510	CMR1
Q9Y5N5	N6AMT1
Q03920	MTQ2
O76054	SEC14L2
Q9UDX3	SEC14L4
B5MCN3	SEC14L6
Q9UDX4	SEC14L3
P24280	SEC14
P33324	
Q9HD23	MRS2
Q02783	MFM1
Q01926	MRS2
O75717	WDHD1
Q01454	CTF4
P00813	ADA
P53909	AAH1
P62875	POLR2L
P22139	RPB10
Q9H1K0	RBSN
P32609	PEP7
Q9BRP4	PAAF1
P53196	RPN14
Q9H300	PARL
P53259	PCP1
Q9Y3E7	CHMP3
P36095	VPS24
Q9ULW3	ABT1
P53743	ESF2
Q8IWW8	ADHFE1
P10127	ADH4
Q99816	TSG101
P25604	STP22
Q9NS91	RAD18
P10862	RAD18
Q9UJ68	MSRA
P40029	MXR1
Q9NXR8	ING3
P50947	PHO23
Q14814	MEF2D
Q02080	MEF2B
P11746	MCM1
Q15363	TMED2
Q9Y3B3	TMED7
P32803	EMP24
Q9Y3D2	MSRB2
Q8IXL7	MSRB3
P25566	MXR2
P53990	IST1
P53843	IST1
P29972	AQP1
K7N7A8	
P30301	MIP
P41181	AQP2
P55064	AQP5
P55087	AQP4
Q13520	AQP6
P0CD91	AQY1
Q9NRZ5	AGPAT4
Q9NRZ7	AGPAT3
P38226	CST26
Q12185	
Q96AJ9	VTI1A
Q04338	VTI1
Q9H063	MAF1
P41910	MAF1
P35610	SOAT1
O75908	SOAT2
P25628	ARE1
P53629	ARE2
P04180	LCAT
Q8NCC3	PLA2G15
P40345	LRO1
Q96CS3	FAF2
Q9UNN5	FAF1
Q12229	UBX3
O60683	PEX10
Q05568	PEX10
P52815	MRPL12
P53163	MNP1
Q01658	DR1
Q92317	NCB2
Q8N1B4	VPS52
P39904	VPS52
Q92968	PEX13
P80667	PEX13
Q9UMS4	PRPF19
P32523	PRP19
Q9NPF5	DMAP1
P53201	SWC4
O14662	STX16
H3BU86	STX16-NPEPL1
Q08144	TLG2
Q00765	REEP5
Q96HR9	REEP6
Q12402	YOP1
Q9NYP7	ELOVL5
Q9NXB9	ELOVL2
P25358	ELO2
O60931	CTNS
P17261	ERS1
O43583	DENR
P47089	TMA22
P62318	SNRPD3
P43321	SMD3
Q6IN84	MRM1
P25270	MRM1
Q9UI43	MRM2
P53123	MRM2
Q9UM13	ANAPC10
P53068	DOC1
Q9Y5X2	SNX8
P40959	MVP1
Q6ZSM3	SLC16A12
O60669	SLC16A7
O15427	SLC16A3
O95907	SLC16A8
Q7RTY0	SLC16A13
P53985	SLC16A1
Q8NCK7	SLC16A11
O15374	SLC16A4
O15375	SLC16A5
P36021	SLC16A2
P53918	ESBP6
Q96NS1	YPEL4
Q96QA6	YPEL2
O60688	YPEL1
P61236	YPEL3
P38191	MOH1
P23528	CFL1
Q9Y281	CFL2
P60981	DSTN
Q03048	COF1
Q9Y3B1	PRELID3B
Q96N28	PRELID3A
P35200	UPS2
Q04006	UPS3
Q9UIG0	BAZ1B
Q9NRL2	BAZ1A
P53125	ITC1
Q08964	
P10599	TXN
P22803	TRX2
P22217	TRX1
P0DI82	TRAPPC2B
P0DI81	TRAPPC2
P38334	TRS20
P63167	DYNLL1
Q96FJ2	DYNLL2
Q02647	DYN2
Q8WUX2	CHAC2
Q9BUX1	CHAC1
P32656	GCG1
Q15287	RNPS1
P27476	NSR1
P78383	SLC35B1
Q12520	HUT1
Q8IUR0	TRAPPC5
Q03337	TRS31
Q9BUI4	POLR3C
P32349	RPC82
Q9BT17	MTG1
Q03151	MTG1
Q9H9E3	COG4
Q06096	COG4
Q9BZL1	UBL5
Q6Q546	HUB1
Q9UJA2	CRLS1
Q07560	CRD1
Q96K17	BTF3L4
P20290	BTF3
Q02642	EGD1
P40314	BTT1
Q6ZP29	SLC66A1
Q12010	YPQ1
P38279	RTC2
Q9Y3U8	RPL36
O14455	RPL36B
P05745	RPL36A
Q2TAA2	IAH1
P41734	IAH1
Q9H3S4	TPK1
P35202	THI80
Q9UNL4	ING4
Q8WYH8	ING5
Q9H160	ING2
P38806	YNG2
O00264	PGRMC1
O15173	PGRMC2
Q12091	DAP1
O95801	TTC4
P33313	CNS1
Q9NR50	EIF2B3
P09032	GCD1
Q9Y255	PRELID1
Q05776	UPS1
Q02446	SP4
P08047	SP1
Q02086	SP2
Q6BEB4	SP5
P33748	MSN2
P33749	MSN4
O95563	MPC2
P53311	MPC3
P38857	MPC2
P62857	RPS28
P0C0X0	RPS28B
Q3E7X9	RPS28A
P56182	RRP1
Q14684	RRP1B
P35178	RRP1
P78346	RPP30
P38786	RPP1
P32320	CDA
Q06549	CDD1
Q86U38	NOP9
P47077	NOP9
Q969G6	RFK
Q03778	FMN1
Q9BWT6	MND1
P53102	MND1
Q9P015	MRPL15
P36520	MRPL10
Q9H446	RWDD1
Q03768	GIR2
P63220	RPS21
P0C0V8	RPS21A
Q3E754	RPS21B
O60493	SNX3
Q9UMY4	SNX12
Q08826	SNX3
Q9H5J4	ELOVL6
Q9HB03	ELOVL3
P39540	ELO1
Q96GG9	DCUN1D1
Q6PH85	DCUN1D2
Q8IWE4	DCUN1D3
Q9BTE7	DCUN1D5
Q92564	DCUN1D4
Q12395	DCN1
A6NH52	TVP23A
Q9NYZ1	TVP23B
Q96ET8	TVP23C
P38962	TVP23
O95070	YIF1A
Q5BJH7	YIF1B
P53845	YIF1
P62851	RPS25
Q3E792	RPS25A
P0C0T4	RPS25B
Q96K37	SLC35E1
P22215	SLY41
P39542	
Q99720	SIGMAR1
P32352	ERG2
Q9Y2B2	PIGL
P23797	GPI12
Q9NZM5	NOP53
Q12080	NOP53
P30825	SLC7A1
O43246	SLC7A4
P52569	SLC7A2
Q8WY07	SLC7A3
Q8TBB6	SLC7A14
P43548	AGP3
P06775	HIP1
P19145	GAP1
P38084	BAP2
P41815	BAP3
P38967	TAT2
Q08986	SAM3
P48813	GNP1
P25376	AGP1
P38085	TAT1
Q12372	MMP1
P32487	LYP1
P53388	DIP5
P04817	CAN1
P38971	ALP1
P15380	PUT4
Q03770	SSY1
P38090	AGP2
Q8NBQ5	HSD17B11
Q7Z5P4	HSD17B13
Q8N3Y7	SDR16C5
Q8IZV5	RDH10
O75911	DHRS3
Q07530	
Q06417	TDA5
P30622	CLIP1
Q9UDT6	CLIP2
P33420	NIP100
P52758	RIDA
P40037	HMF1
P40185	MMF1
Q86Y82	STX12
O15400	STX7
P32854	PEP12
Q8IVV7	GID4
P38263	VID24
P53242	
Q9NX18	SDHAF2
F5H5T6	
Q08230	SDH5
O75683	SURF6
P36080	RRP14
O14734	ACOT8
P41903	TES1
O76094	SRP72
P38688	SRP72
O15116	LSM1
P47017	LSM1
Q6IPR3	TYW3
P53177	TYW3
Q86YN1	DOLPP1
P53223	CAX4
Q8N3Z3	GTPBP8
Q05473	MRX8
Q9NQY0	BIN3
P25343	RVS161
Q96FZ7	CHMP6
Q04272	VPS20
Q9BSH4	TACO1
P53212	
Q9Y253	POLH
Q04049	RAD30
Q8N138	ORMDL3
Q9P0S3	ORMDL1
Q53FV1	ORMDL2
P53224	ORM1
Q06144	ORM2
O95104	SCAF4
Q9UPN6	SCAF8
P53617	NRD1
Q86TP1	PRUNE1
P38698	PPX1
Q96E22	NUS1
Q12063	NUS1
Q9NYG5	ANAPC11
Q12157	APC11
Q8IWW6	ARHGAP12
Q6ZUM4	ARHGAP27
Q9BRR9	ARHGAP9
Q06407	RGA2
P39083	RGA1
P05496	ATP5MC1
P48201	ATP5MC3
Q06055	ATP5MC2
P61829	OLI1
Q9Y6H1	CHCHD2
Q5T1J5	CHCHD2P9
Q8WYQ3	CHCHD10
Q03667	MIX17
O60645	EXOC3
Q86VI1	EXOC3L1
P32844	SEC6
P33552	CKS2
P61024	CKS1B
P20486	CKS1
O43513	MED7
Q08278	MED7
Q96BK5	PINX1
P53335	PXR1
Q9BRG1	VPS25
P47142	VPS25
Q96S52	PIGS
Q04080	GPI17
Q9NQT4	EXOSC5
P53256	RRP46
Q9BPU6	DPYSL5
Q14117	DPYS
Q16555	DPYSL2
Q14194	CRMP1
Q14195	DPYSL3
O14531	DPYSL4
P32375	DAL1
Q6Y7W6	GIGYF2
O75420	GIGYF1
Q02875	SYH1
P32909	SMY2
Q9BSJ2	TUBGCP2
Q96CW5	TUBGCP3
P38863	SPC97
O43156	TTI1
P36097	TTI1
P61970	NUTF2
P33331	NTF2
Q6FI81	CIAPIN1
P36152	DRE2
Q96F25	ALG14
P38242	ALG14
Q9BYD1	MRPL13
Q12487	MRPL23
O75387	SLC43A1
Q8N370	SLC43A2
Q8NBI5	SLC43A3
Q04991	FMP42
Q86TB9	PATL1
C9JE40	PATL2
P25644	PAT1
Q5H9L4	TAF7L
Q15545	TAF7
Q05021	TAF7
Q9BUB4	ADAT1
P78563	ADARB1
P53065	TAD1
O00623	PEX12
Q04370	PEX12
Q5JVF3	PCID2
P47130	CSN12
Q9Y399	MRPS2
P32902	MRP4
Q7L1I2	SV2B
Q7L0J3	SV2A
Q496J9	SV2C
Q8N4V2	SVOP
Q8N434	SVOPL
P25297	PHO84
O95786	DDX58
Q9BYX4	IFIH1
Q96C10	DHX58
P40562	MPH1
P23025	XPA
P28519	RAD14
O14530	TXNDC9
Q04004	PLP1
P49914	MTHFS
P40099	FAU1
P78318	IGBP1
Q04372	TAP42
P98187	CYP4F8
P78329	CYP4F2
Q9HBI6	CYP4F11
Q9HCS2	CYP4F12
Q08477	CYP4F3
Q6NT55	CYP4F22
Q02928	CYP4A11
P13584	CYP4B1
Q5TCH4	CYP4A22
Q8N118	CYP4X1
Q86W10	CYP4Z1
Q6ZWL3	CYP4V2
Q8N1L4	CYP4Z2P
P24462	CYP3A7
Q9HB55	CYP3A43
P20815	CYP3A5
P08684	CYP3A4
P21595	DIT2
Q12926	ELAVL2
Q15717	ELAVL1
P26378	ELAVL4
Q14576	ELAVL3
Q92879	CELF1
O95319	CELF2
Q5SZQ8	CELF3
P53316	
P25555	GBP2
P38922	HRB1
Q9HC24	TMBIM4
Q7Z429	GRINA
Q9BWQ8	FAIM2
Q969X1	TMBIM1
P48558	BXI1
Q9UBU9	NXF1
Q9GZY0	NXF2
Q9H4D5	NXF3
Q9H1B4	NXF5
Q99257	MEX67
Q9Y3L3	SH3BP1
Q68EM7	ARHGAP17
Q17R89	ARHGAP44
P38339	RGD1
Q9UQR1	ZNF148
Q9Y2X9	ZNF281
P39943	MIG3
P53035	MIG2
P21549	AGXT
P43567	AGX1
P60002	ELOF1
P36053	ELF1
Q96LU5	IMMP1L
P28627	IMP1
Q8TBQ9	TMEM167A
Q8TGJ3	KSH1
Q9UK45	LSM7
P53905	LSM7
Q9Y584	TIMM22
Q12328	TIM22
Q96K49	TMEM87B
Q8NBN3	TMEM87A
P32857	PTM1
P38745	
O43169	CYB5B
P00167	CYB5A
P40312	CYB5
Q8WWV3	RTN4IP1
P28625	YIM1
Q7L5D6	GET4
Q12125	GET4
Q96FZ2	HMCES
Q04471	
O95154	AKR7A3
Q8NHP1	AKR7L
O43488	AKR7A2
P42884	AAD14
Q07747	AAD4
P25612	AAD3
P47182	AAD10
P37802	TAGLN2
Q9UI15	TAGLN3
Q01995	TAGLN
P51911	CNN1
Q15417	CNN3
Q99439	CNN2
Q08873	SCP1
Q9BZD2	SLC29A3
Q99808	SLC29A1
Q14542	SLC29A2
P31381	FUN26
Q9GZR5	ELOVL4
A1L3X0	ELOVL7
Q9BW60	ELOVL1
P40319	ELO3
P14854	COX6B1
Q6YFQ2	COX6B2
Q01519	COX12
Q9HBM6	TAF9B
Q16594	TAF9
Q05027	TAF9
P63272	SUPT4H1
P32914	SPT4
P62304	SNRPE
Q12330	SME1
Q96FK6	WDR89
P53962	
Q9BYG3	NIFK
P53927	NOP15
P63165	SUMO1
P55854	SUMO3
P61956	SUMO2
Q12306	SMT3
P05386	RPLP1
P05318	RPP1A
P10622	RPP1B
P07108	DBI
Q8N6N7	ACBD7
P31787	ACB1
P62273	RPS29
P41057	RPS29A
P41058	RPS29B
P52657	GTF2A2
P32774	TOA2
P39210	MPV17
Q06563	SYM1
Q15906	VPS72
Q03388	VPS72
Q5T6J7	IDNK
Q03786	
Q96G23	CERS2
Q8N5B7	CERS5
Q6ZMG9	CERS6
Q8IU89	CERS3
Q9HA82	CERS4
P38703	LAG1
P28496	LAC1
O94886	TMEM63A
Q5T3F8	TMEM63B
Q9P1W3	TMEM63C
Q06538	CSC1
P23246	SFPQ
Q8WXF1	PSPC1
Q15233	NONO
Q01560	NPL3
P15927	RPA2
Q13156	RPA4
P26754	RFA2
A8MSY1	STIMATE-MUSTN1
Q86TL2	STIMATE
Q12042	
Q16643	DBN1
Q9UJU6	DBNL
P15891	ABP1
O75381	PEX14
P53112	PEX14
Q9NQP4	PFDN4
P53900	GIM3
Q9Y3A6	TMED5
Q13445	TMED1
Q9Y3Q3	TMED3
P39704	ERP2
Q12450	ERP4
O15212	PFDN6
P52553	YKE2
P62306	SNRPF
P54999	SMX3
Q6UX04	CWC27
Q02770	CWC27
Q9NUW8	TDP1
P38319	TDP1
Q9Y3D7	PAM16
P42949	PAM16
Q8WXB1	METTL21A
Q96AZ1	EEF1AKMT3
Q9H867	VCPKMT
P53970	EFM6
Q8TB40	ABHD4
Q8WTS1	ABHD5
Q12385	ICT1
Q04623	ECM18
P52434	POLR2H
P20436	RPB8
P61803	DAD1
P46964	OST2
P57740	NUP107
